PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
38623579,90621,105000,1997,1,1,1,1948,840
38623579,90621,120000,1999,1,1,1,1948,840
38623580,90621,135000,1997,4,3,2,1955,1265
38623581,90621,135000,2001,2,1,3,1950,1182
38623584,90621,93000,1996,3,1,1,1993,627
38623590,90621,118000,1994,2,1,2,1928,1030
38623590,90621,154000,1994,3,1,2,1928,1030
38623590,90621,548000,2005,4,1,2,1928,1030
38623590,90621,365000,2008,4,1,2,1928,1030
38623591,90621,65000,1997,1,1,2,1928,1024
38623592,90621,80000,1992,4,3,6,1928,2124
38623592,90621,200000,1994,2,3,6,1928,2124
38623600,90621,160000,1992,2,1,2,1928,1020
38623603,90621,142500,2008,2,1,2,1910,912
38623607,90621,95000,1997,3,1,2,1928,865
38623608,90621,93000,1999,3,1,2,1928,1060
38623608,90621,163000,1999,3,1,2,1928,1060
38623609,90621,94000,1998,4,1,3,1928,863
38623613,90621,120000,1995,2,1,2,1946,1045
38623613,90621,141500,1998,4,1,2,1946,1045
38623613,90621,226000,2002,4,1,2,1946,1045
38623615,90621,179500,2001,3,1,2,1929,804
38623615,90621,460000,2005,4,1,2,1929,804
38623615,90621,170000,2009,2,1,2,1929,804
38623619,90621,125000,1991,2,1,2,1947,905
38623619,90621,420000,2005,1,1,2,1947,905
38623619,90621,529000,2005,2,1,2,1947,905
38623620,90621,513000,2006,3,1,2,1930,1218
38623620,90621,425000,2007,3,1,2,1930,1218
38623621,90621,279000,2003,1,1,3,1955,1045
38623622,90621,139000,1993,4,3,3,1950,1263
38623623,90621,187000,2000,3,2,2,1953,1197
38623624,90621,162500,1992,1,1,1,1928,672
38623624,90621,201000,2001,1,1,1,1928,672
38623626,90621,123000,1997,1,1,2,1951,1286
38623628,90621,188000,2001,2,1,2,1952,864
38623629,90621,17000,2000,2,1,2,1926,1047
38623629,90621,517000,2006,3,1,2,1926,1047
38623629,90621,256000,2009,1,1,2,1926,1047
38623631,90621,135000,1996,3,1,2,1938,923
38623631,90621,126409,1999,3,1,2,1938,923
38623632,90621,256000,2002,2,1,2,1943,1049
38623633,90621,125000,1991,4,1,2,1935,731
38623634,90621,215000,1990,4,1,1,1945,360
38623634,90621,182500,1998,2,1,1,1945,360
